epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,64.3366,1.24817,1.1272,1.22786,0.67273,0.89194,0.843,0.52221,1.4629,0.93518,1.28602,0.000424187,0.000424187,0.000424187
43,65.8643,1.23351,1.09706,1.20294,0.66782,0.86936,0.80617,0.4827,1.43666,0.95461,1.27341,0.000417119,0.000417119,0.000417119
44,67.4446,1.22028,1.10626,1.20676,0.65718,0.83703,0.79376,0.49425,1.39671,0.95994,1.25151,0.00041005,0.00041005,0.00041005
45,68.9809,1.20202,1.07053,1.19322,0.75526,0.8289,0.85438,0.52426,1.42654,0.91643,1.26044,0.000402982,0.000402982,0.000402982
46,70.5133,1.2082,1.07726,1.20319,0.73256,0.84032,0.86075,0.50599,1.5337,0.93027,1.31144,0.000395913,0.000395913,0.000395913
47,71.9978,1.20986,1.08029,1.19821,0.69327,0.8259,0.84512,0.53617,1.39986,0.9473,1.24505,0.000388844,0.000388844,0.000388844
48,73.5077,1.20786,1.04722,1.18149,0.60935,0.89491,0.76952,0.47209,1.42076,0.95991,1.25692,0.000381776,0.000381776,0.000381776
49,75.0935,1.20874,1.04219,1.1998,0.708,0.87867,0.85017,0.49568,1.50593,0.9113,1.28873,0.000374707,0.000374707,0.000374707
50,76.6337,1.17604,1.03757,1.18805,0.73727,0.86964,0.85743,0.5055,1.49837,0.90152,1.27569,0.000367639,0.000367639,0.000367639
51,78.1504,1.17519,1.00313,1.16249,0.79976,0.8871,0.90924,0.54519,1.51334,0.84314,1.27329,0.00036057,0.00036057,0.00036057
52,79.7126,1.17892,0.99902,1.17372,0.78213,0.85647,0.88354,0.54234,1.45092,0.85589,1.26798,0.000353501,0.000353501,0.000353501
53,81.2128,1.19422,0.97402,1.18802,0.77828,0.84444,0.87089,0.54756,1.44053,0.8837,1.25978,0.000346433,0.000346433,0.000346433
54,82.7593,1.18859,0.98768,1.17888,0.8431,0.81662,0.91784,0.57331,1.42039,0.80881,1.25641,0.000339364,0.000339364,0.000339364
55,84.3177,1.15811,0.94132,1.16041,0.82561,0.87764,0.90581,0.55655,1.46747,0.8143,1.26817,0.000332296,0.000332296,0.000332296
56,85.7875,1.1724,0.95486,1.16146,0.75377,0.86943,0.8992,0.56088,1.41036,0.89811,1.24042,0.000325227,0.000325227,0.000325227
57,87.3013,1.18742,0.93478,1.17941,0.85488,0.83401,0.91912,0.5693,1.4068,0.82484,1.23102,0.000318158,0.000318158,0.000318158
58,88.8536,1.18911,0.91642,1.16997,0.88929,0.91372,0.94593,0.589,1.41555,0.7488,1.23989,0.00031109,0.00031109,0.00031109
59,90.3806,1.15273,0.89438,1.15693,0.77085,0.88447,0.88797,0.55833,1.4012,0.8117,1.23245,0.000304021,0.000304021,0.000304021
60,91.893,1.19327,0.89525,1.19525,0.89047,0.92065,0.95641,0.55886,1.52785,0.7235,1.29134,0.000296953,0.000296953,0.000296953
61,93.4685,1.15035,0.86422,1.14829,0.81198,0.85296,0.89228,0.56374,1.38394,0.80969,1.24156,0.000289884,0.000289884,0.000289884
62,94.9333,1.19455,0.87358,1.18266,0.84882,0.84056,0.92041,0.58658,1.36832,0.80664,1.23623,0.000282815,0.000282815,0.000282815
63,96.4403,1.14082,0.83981,1.16556,0.91405,0.91767,0.9585,0.60914,1.39276,0.69232,1.24137,0.000275747,0.000275747,0.000275747
64,97.9356,1.16053,0.8575,1.16776,0.91325,0.90868,0.96147,0.59412,1.41212,0.70149,1.24376,0.000268678,0.000268678,0.000268678
65,99.4402,1.14411,0.84067,1.15465,0.85415,0.87204,0.93354,0.54528,1.53348,0.76414,1.29437,0.00026161,0.00026161,0.00026161
66,100.927,1.14062,0.8,1.13702,0.92,0.90271,0.96682,0.58503,1.44178,0.66743,1.2621,0.000254541,0.000254541,0.000254541
